SizeN;findMax time (ns);insert time (ns)
1;4533;900
100;266;178966
200;233;137200
300;266;216333
400;266;363333
500;233;564166
600;266;774500
700;233;1020733
800;266;950666
900;266;1187400
1000;233;1451000
1100;300;1763733
1200;266;2075833
1300;266;2481933
1400;266;2885633
1500;233;3233600
1600;433;3709766
1700;266;4132300
1800;266;4631300
1900;266;5155300
2000;500;5667800
2100;266;6071500
2200;1933;7086100
2300;1166;7279200
2400;600;8025600
2500;1666;8635100
2600;433;9304566
2700;866;10092600
2800;500;10841666
2900;1066;11754766
3000;15333;12510100
3100;1333;13270466
3200;533;14099700
3300;1466;15035500
3400;1100;16699633
3500;7133;16786700
3600;6233;17728966
3700;966;19485433
3800;900;19871466
3900;1833;21002833
4000;166;21961266
4100;133;23007500
4200;133;24139533
4300;100;26047066
4400;200;27376333
4500;133;27700700
4600;133;29011166
4700;66;30347733
4800;33;31586000
4900;33;32799466
5000;33;34174366
5100;33;35627333
5200;33;38656566
5300;66;39272833
5400;0;40641066
5500;66;41325433
5600;33;43176200
5700;66;44289500
5800;33;46455566
5900;33;48426533
6000;66;49434500
6100;33;50946166
6200;33;52918333
6300;33;54345466
6400;66;56250933
6500;0;57753133
6600;133;59441633
6700;0;61998900
6800;66;63126300
6900;33;66024400
7000;33;67239800
7100;33;71558966
7200;33;70858200
7300;33;73696733
7400;66;74997633
7500;33;77008166
7600;66;78966366
7700;33;81001266
7800;33;83102200
7900;33;86591666
8000;33;87608100
8100;66;89456133
8200;33;92101033
8300;33;94187800
8400;66;96267900
8500;33;99212233
8600;0;101097700
8700;33;103725566
8800;33;106176200
8900;0;108109233
9000;0;111875200
9100;66;113333466
9200;33;115515133
9300;33;118300966
9400;33;120873000
9500;33;123273633
9600;33;125751700
9700;33;128681100
9800;0;131160033
9900;66;133723433
10000;33;136413766
10100;33;139432466
10200;33;144333666
10300;66;144866866
10400;0;148350666
10500;33;151005766
10600;0;155522166
10700;33;157793266
10800;66;160581366
10900;966;163486933
11000;33;165196733
11100;33;168148500
11200;33;172414633
11300;66;175327900
11400;0;177289533
11500;33;180459033
11600;33;184910600
11700;33;187616000
11800;33;190209766
11900;33;193370666
12000;33;198208700
12100;33;199909233
12200;33;206429733
12300;0;206818200
12400;33;211377733
12500;66;213455533
12600;0;217053533
12700;66;220404500
12800;66;223958100
12900;66;235678366
13000;33;230349966
13100;33;234607733
13200;66;239411933
13300;33;242314033
13400;33;245117333
13500;33;250861566
13600;33;253076766
13700;33;256688366
13800;66;262086766
13900;66;264677133
14000;33;267883366
14100;66;271733000
14200;66;275202033
14300;33;279850600
14400;33;285996600
14500;66;286825033
14600;33;291687266
14700;33;296811600
14800;33;298853900
14900;0;304839900
15000;33;307055566
15100;66;311535700
15200;33;315945500
15300;33;323355100
15400;66;325095300
15500;33;335125633
15600;66;331579700
15700;33;336694000
15800;33;341582266
15900;33;346427033
16000;66;353241966
16100;66;357662433
16200;66;388689000
16300;66;393478866
16400;0;373992300
16500;66;376282133
16600;33;396145166
16700;66;386094200
16800;33;386495233
16900;33;416721266
17000;33;431326700
17100;66;402427200
17200;66;405009566
17300;0;411882933
17400;33;418729700
17500;33;419909066
17600;33;422331266
17700;66;429415700
17800;33;438781666
17900;33;440520733
18000;33;445327433
18100;33;448252966
18200;33;458516766
18300;33;461250900
18400;33;463393500
18500;33;468963233
18600;33;479792733
18700;33;476759766
18800;900;483349466
18900;33;486639766
19000;0;493237266
19100;33;501380733
19200;66;503464700
19300;33;511149766
19400;33;516987433
19500;66;520078933
19600;33;527295033
19700;33;529797633
19800;66;534635633
19900;66;544200066
20000;33;546894533
20100;33;564402900
20200;33;556721066
20300;33;562492166
20400;33;568842100
20500;33;575900933
20600;0;579579333
20700;33;585055833
20800;33;591791766
20900;33;596607100
21000;33;601985466
21100;66;612888466
21200;33;616617733
21300;33;624713766
21400;33;623880900
21500;33;631814300
21600;33;636055266
21700;33;642329933
21800;66;648773400
21900;33;654432400
22000;33;661692433
22100;0;665268900
22200;66;682651366
22300;33;677906633
22400;0;684058200
22500;33;692088000
22600;33;702191500
22700;33;705296966
22800;66;709786966
22900;33;720036133
23000;33;721430833
23100;33;727490000
23200;33;734403933
23300;33;743580066
23400;33;755394033
23500;33;756538333
23600;33;760155666
23700;0;769416466
23800;66;777582600
23900;66;791935166
24000;0;788644966
24100;33;797740400
24200;33;804234866
24300;33;819224833
24400;33;823569933
24500;1333;822716466
24600;33;828210000
24700;33;836351366
24800;33;841623100
24900;33;851938233
25000;0;857688666
