SizeN;findKLargestOurs time(ns);findKLargestJavas time(ns)
1;441440;117180
500;2337100;2072440
1000;3808340;5707040
1500;4221300;4633080
2000;3694340;3994300
2500;1845120;2604400
3000;2272540;4759800
3500;4337880;5368880
4000;4488120;7503280
4500;6672860;6466420
5000;3075800;4004560
5500;3322420;4024240
6000;3503620;4402200
6500;4192760;4766020
7000;5903960;5135460
7500;4410760;5895220
8000;4663700;5849540
8500;5040740;9775200
9000;11053880;6593900
9500;5507300;7428420
10000;6172120;7974140
10500;6180800;9483280
11000;7301740;8275000
11500;6691240;9292180
12000;7178360;10217020
12500;7371520;9817060
13000;7551780;9746700
13500;8180420;12035200
14000;8101820;10816460
14500;8547860;10886640
15000;15857960;12510740
15500;9023060;12087080
16000;10801240;12419260
16500;9778660;12364240
17000;17559220;17282740
17500;10215680;13284380
18000;11703520;13567340
18500;10994780;13933880
19000;13634200;15233060
19500;11308400;14880080
20000;13518720;15011900
20500;12277820;15349700
21000;14681020;15770660
21500;12594360;18370200
22000;12968020;17272660
22500;13535280;18370060
23000;13453560;17238600
23500;16235020;17571460
24000;14551000;19963620
24500;14631980;18279140
25000;16957360;18752980
25500;15214380;20815960
26000;15856820;20986440
26500;16073640;19882760
27000;18413620;20190360
27500;16373840;22029760
28000;17034580;23083520
28500;16991040;21539620
29000;18904340;22230000
29500;17588700;24366140
30000;17461320;24403340
30500;18186080;23030160
31000;21364840;23230080
31500;20675960;24238120
32000;21386340;24367100
32500;19490860;26196020
33000;19719620;26347120
33500;20205100;27117620
34000;19782660;28407040
34500;20577960;28134060
35000;22189960;27809100
35500;21242620;27232180
36000;24031360;27693980
36500;23428140;28163880
37000;23937280;27710320
37500;25188540;28620540
38000;24741140;28366520
38500;25853880;29829920
39000;24103720;29569220
39500;36258800;31685980
40000;23286340;32794500
40500;24378180;32399840
41000;25160760;32129040
41500;25562720;32201900
42000;27290180;31894640
42500;28731040;33354840
43000;25494920;34941140
43500;26134460;34961420
44000;25769140;35053160
44500;28410000;33841360
45000;28287480;34383400
45500;28765700;36029060
46000;27448040;36490380
46500;28150800;36948140
47000;29855300;35964200
47500;30379080;38714680
48000;28812240;38592620
48500;28954240;39596180
49000;30077980;38764660
49500;31180160;40331240
50000;39158700;44565820
50500;30785400;40474400
51000;31204380;39077580
51500;33823080;40569340
52000;30676240;41260820
52500;33211080;40577360
53000;33249800;43438060
53500;33850840;42197860
54000;34056800;42807020
54500;33460580;42427020
55000;35248500;44535140
55500;34577160;43681440
56000;35738000;44108480
56500;35330780;44130200
57000;35084460;45315700
57500;34911680;46274860
58000;35396440;46765240
58500;36474860;47855380
59000;36547220;45362920
59500;37944220;46761120
60000;37142140;49565460
60500;36134940;48535460
61000;39299540;48314400
61500;39908600;50265480
62000;38158320;48763700
62500;38515640;49754800
63000;40136460;50398140
63500;40643560;50131260
64000;38782120;50770360
64500;41090080;52871260
65000;40355120;51427240
65500;40899940;54267140
66000;39702140;52549080
66500;41000620;53350540
67000;44286280;69225720
67500;41991440;52728720
68000;42187640;53914960
68500;43534220;52597960
69000;43604480;54872600
69500;43564540;55280640
70000;40923120;56668360
70500;42704580;55077460
71000;45573740;55692800
71500;44797540;57277620
72000;46002580;58208720
72500;44353080;57210240
73000;46553560;57838860
73500;45275040;58080560
74000;46748080;58268420
74500;47212760;59181820
75000;46416520;59393980
75500;46680680;60649380
76000;47538040;59819700
76500;48496780;61319040
77000;46676300;61796620
77500;48154800;62512980
78000;49167620;61488980
78500;51999520;61817020
79000;50037000;62525840
79500;49176360;63954800
80000;48857140;64782120
80500;50952300;63787620
81000;50150720;63837820
81500;51281280;63769840
82000;49131220;64852080
82500;51853660;66415960
83000;52886220;66458880
83500;53541700;68821840
84000;68447680;79382360
84500;55396760;71991760
85000;56280820;70543140
85500;53697220;66799360
86000;53126400;66788280
86500;54264620;69721220
87000;52225240;70953060
87500;53722520;71354400
88000;53029360;70967160
88500;54055420;72021260
89000;53936980;72107580
89500;55446320;71984620
90000;54514620;73438400
90500;55043260;73449800
91000;56657980;72118800
91500;56768860;72507620
92000;57866220;72682060
92500;62447040;74988040
93000;60865900;75323900
93500;60261620;76907380
94000;61105160;74771740
94500;58215920;75223400
95000;59478420;76526140
95500;59093880;77832320
96000;58854800;75692580
96500;61266900;75553720
97000;59258320;77452500
97500;60900600;78377460
98000;60316600;80293780
98500;60358220;77795840
99000;60977340;78015560
99500;61518960;79614700
100000;61918280;80701640
100500;61454700;78969640
101000;61998860;79637240
101500;63195820;80137220
102000;63704380;81574100
102500;63132660;79890600
103000;63722880;81077800
103500;64348580;83631340
104000;63933600;80844900
104500;64210020;82760540
105000;65139100;84571320
105500;64314840;84320220
106000;65489140;84027340
106500;66932020;82671380
107000;66623360;84044980
107500;66826700;88588160
108000;67434480;85594500
108500;67256360;88085200
109000;66913100;87208160
109500;68038800;87343760
110000;70351800;86226380
110500;68152900;89604480
111000;67794580;87586020
111500;68289320;90249580
112000;69255020;87449660
112500;69647240;90503260
113000;69665080;89678280
113500;70972380;89773940
114000;71445220;109174080
114500;71140260;90648020
115000;71818640;90440760
115500;73051960;93484620
116000;70823700;91549720
116500;74403120;91431220
117000;72937240;92220200
117500;72263120;93754360
118000;73238920;94124980
118500;72678040;94033800
119000;74231380;93428220
119500;74269280;93905660
120000;74843420;96421220
120500;74882260;97656940
121000;74288120;95211920
121500;75329140;95347000
122000;74988360;97474540
122500;75077820;98035320
123000;76439520;96378520
123500;77208020;97798140
124000;76752340;99030540
124500;76842620;96976520
125000;77762780;99238800
125500;78201900;101008080
126000;77152300;99121540
126500;77927800;100077680
127000;79630700;101008680
127500;79217020;102110000
128000;79373760;103363740
128500;78502800;101614380
129000;80136660;103829420
129500;81290640;104925140
130000;80804320;104019080
130500;80939300;105555140
131000;81913620;102471180
131500;82732040;105555080
132000;83098020;104317040
132500;82644940;106729040
133000;84504040;104229480
133500;81976500;106703460
134000;84918120;108447180
134500;83881740;106646740
135000;84633980;106133020
135500;84960500;108042540
136000;84808320;106874240
136500;84751180;110681500
137000;83647500;108335000
137500;86826040;110297540
138000;84648020;109758140
138500;87103160;113788540
139000;86632880;110180420
139500;89150980;108866440
140000;87352660;112514360
140500;86254160;111037400
141000;88592000;113519900
141500;87782460;113476160
142000;88032900;112409560
142500;88614340;113949980
143000;88657000;117256720
143500;87875800;113796840
144000;88812780;115994560
144500;90326720;115175540
145000;89179980;114636180
145500;92361940;114499800
146000;91148020;117152980
146500;91568260;117930240
147000;90988720;141256800
147500;90913380;117584780
148000;90614800;116141800
148500;91334460;115499340
149000;92566640;121478840
149500;93039660;117548560
150000;92733160;118155600
150500;95554260;118628200
151000;94872520;119257380
151500;95355980;121872840
152000;93623820;118862140
152500;94244180;121454620
153000;95016080;121934720
153500;96380420;119889840
154000;94775680;123966660
154500;94262260;121316620
155000;95395180;123409120
155500;95029460;123185440
156000;98630440;126394700
156500;97470260;122462660
157000;96540280;128310080
157500;97628420;124535960
158000;96313900;126602360
158500;97221500;124770580
159000;97265720;127524180
159500;98578600;124976480
160000;99080260;126329040
160500;99489260;127607340
161000;101030420;125601460
161500;100350040;130019560
162000;101396620;132376080
162500;101435820;136746980
163000;100629980;128090400
163500;102199380;129230560
164000;100906860;130741660
164500;104094920;131191120
165000;102390740;131161920
165500;103327660;131452580
166000;109768660;136188680
166500;104270120;135749860
167000;102895680;132609720
167500;105206380;132981000
168000;104093840;135252720
168500;104244060;133604120
169000;105094280;133293380
169500;106843700;136753200
170000;104794880;136702560
170500;105825900;134940440
171000;106914240;134706180
171500;105625220;137430340
172000;105563800;138712740
172500;108937340;136828860
173000;109080260;135314680
173500;106655260;138669880
174000;108302040;140030920
174500;108650980;139084560
175000;112013140;140057220
175500;108809020;141210380
176000;109972620;144276080
176500;110312440;142970560
177000;108828660;139034800
177500;112056020;140608780
178000;114909280;143240200
178500;114374740;144061000
179000;110093520;144248780
179500;111942600;141694940
180000;111037380;145277280
180500;112291320;143062780
181000;114497300;142764100
181500;114353920;143987740
182000;113166660;142110600
182500;115320900;146832560
183000;112918940;146960600
183500;113041360;148222640
184000;112218280;147680040
184500;113140680;146489560
185000;112797500;147914340
185500;113547820;147787220
186000;113698180;146823920
186500;114419340;149680280
187000;115238780;151910540
187500;115687840;150305360
188000;116208780;149294380
188500;116634180;151290040
189000;116021480;152775500
189500;117630600;151470000
190000;117079660;153608240
190500;119234480;153626220
191000;117668480;153238960
191500;118373080;154427880
192000;120271680;156515100
192500;118633520;155299120
193000;119654660;154433320
193500;120959200;154988660
194000;124923160;153174540
194500;123950120;154219580
195000;125038360;153113440
195500;123297460;158686040
196000;120833440;158723580
196500;122134120;156691940
197000;121278240;159721820
197500;121593460;157665640
198000;123406780;157720900
198500;127187700;156915660
199000;125818920;161038440
199500;124401640;158695800
200000;123421880;160328220
200500;124403500;161623800
201000;126370500;159305940
201500;127053720;160645360
202000;125724360;160314200
202500;127165900;165170800
203000;126666040;160920380
203500;128419420;162286380
204000;127463340;162794660
204500;125545840;164238440
205000;128421840;162366580
205500;132915680;169470140
206000;128101520;166063020
206500;128362180;164923700
207000;130587280;165533220
207500;128853040;167495600
208000;129085200;165892100
208500;131092520;166747800
209000;128878580;166640760
209500;129692040;167770860
210000;132161560;170328200
210500;129602680;168965540
211000;131125200;166881680
211500;132390580;169253800
212000;132447360;172760060
212500;132474920;170454900
213000;130839060;169834520
213500;132468800;171920100
214000;134468260;173510500
214500;134923360;173402100
215000;138040700;170453780
215500;133198980;172724900
216000;136787140;173263200
216500;133329000;173824880
217000;133799300;170273700
217500;137372040;173955160
218000;137278100;173021280
218500;137437200;172647320
219000;135627720;174758500
219500;137581360;174062260
220000;135947900;176869800
220500;138021900;177644260
221000;137242860;178234420
221500;135985660;175934240
222000;138956080;177058800
222500;136254740;178336420
223000;140313960;178156740
223500;138223540;179557220
224000;142062460;178730160
224500;139512400;179963200
225000;140182000;177807260
225500;141453720;178381060
226000;140136760;179987180
226500;140653300;179962900
227000;141097140;180642380
227500;138992980;182615120
228000;142344660;181636160
228500;140267180;181887140
229000;144214140;183763520
229500;144927140;184931780
230000;140400860;185555000
230500;144538200;184066940
231000;145610400;185047640
