SizeN;MergeSort Threshold 1 time(ns) Ascending;MergeSort Threshold 5 time(ns) Ascending;MergeSort Threshold 10 time(ns) Ascending;MergeSort Threshold 25 time(ns) Ascending;MergeSort Threshold 50 time(ns) Ascending;MergeSort Threshold 1 time(ns) Descending;MergeSort Threshold 5 time(ns) Descending;MergeSort Threshold 10 time(ns) Descending;MergeSort Threshold 25 time(ns) Descending;MergeSort Threshold 50 time(ns) Descending;MergeSort Threshold 1 time(ns) Permuted;MergeSort Threshold 5 time(ns) Permuted;MergeSort Threshold 10 time(ns) Permuted;MergeSort Threshold 25 time(ns) Permuted;MergeSort Threshold 50 time(ns) Permuted;Quicksort Pivot Default time(ns) Ascending;Quicksort Pivot Default time(ns) Descending;Quicksort Pivot Default time(ns) Permuted;Quicksort Pivot 1 time(ns) Ascending;Quicksort Pivot 1 time(ns) Descending;Quicksort Pivot 1 time(ns) Permuted;Quicksort Pivot 2 time(ns) Ascending;Quicksort Pivot 2 time(ns) Descending;Quicksort Pivot 2 time(ns) Permuted
1;7600;766;666;600;566;1100;600;600;700;600;1133;700;600;600;933;766;233;200;266;233;233;233;233;233
10000;181053466;34620333;17396233;9014100;4783700;179015700;36114766;18491233;11007400;5903766;170837933;35459533;18358166;9546666;5904300;1550766;862766;1838033;854700;942600;1199100;861533;864200;1192633
20000;705492500;145732966;70233933;35862533;18389233;675693933;139532600;70609766;38119933;19506333;677748066;140654366;70967933;36461533;20018500;297033;294266;3122200;282266;295200;2537400;279933;295600;2597833
30000;1522353533;422756233;208571400;105305833;53727000;1559311533;415826166;211417266;106315966;56734766;1533686166;425282000;213594600;108571300;55770433;469033;486100;1275633;459266;487666;1271266;466666;483566;1270800
40000;2709638666;559218800;292089466;140840933;71647300;2713098233;555597266;280206866;142147900;73832500;2908757300;579358666;295530466;155567633;76424300;604966;638900;1704533;607000;637133;1785166;653233;635800;1757533
50000;4493465366;1404166600;762501966;193557500;106647833;4367415033;1605318766;840500100;189499600;93401066;4693493833;1438679400;765607400;184194566;100041333;963866;856200;2286300;814533;855366;2228466;819300;861833;2761166
60000;6344958733;1680840100;840218566;423995200;213197933;6731398733;1672226133;863652000;422049100;218737766;6280650633;1755696633;864085366;442180233;223596233;973166;1013300;2709500;963866;1016300;2844900;967633;1021033;2803566
70000;8583341666;2010899400;977811666;494080533;247805500;8300736800;1939097966;993693700;493153866;257456666;8536238233;2028754333;1009735533;519692300;258254500;1131300;1315433;3189833;1154700;1282733;3219366;1222766;1277333;3217333
80000;10873298100;2262167966;1182864533;562022800;284819933;10845296466;2292275800;1115834100;565963200;289060933;11553426966;2291230533;1154491133;582406766;300499366;1311866;1443066;3693600;1280333;1344033;3784466;1281266;1351200;3747466
90000;13709705300;3749184733;2519220800;668643300;319153233;13744150700;3730765500;2486410833;663528266;324224866;14152153600;3858476833;2632360033;698881266;334835900;1445800;1525300;4160266;1433033;1524933;4180866;1435700;1519400;4251866
